Time and date,EEG Fpz-Cz,reference,EEG Pz-Oz,Sleep Stage
'[16:13:00.320 24/04/1989]',12.284,-12.284,-2.591,
'[16:13:00.330 24/04/1989]',8.252,-8.252,-2.015,
'[16:13:00.340 24/04/1989]',16.316,-16.316,-5.662,
'[16:13:00.350 24/04/1989]',21.099,-21.099,-0.672,
'[16:13:00.360 24/04/1989]',23.631,-23.631,1.536,
'[16:13:00.370 24/04/1989]',21.193,-21.193,-0.768,
'[16:13:00.380 24/04/1989]',20.161,-20.161,1.248,
'[16:13:00.390 24/04/1989]',23.725,-23.725,-5.854,
'[16:13:00.400 24/04/1989]',26.069,-26.069,0.384,
'[16:13:00.410 24/04/1989]',25.6,-25.6,1.536,
'[16:13:00.420 24/04/1989]',26.069,-26.069,4.319,
'[16:13:00.430 24/04/1989]',26.632,-26.632,2.879,
'[16:13:00.440 24/04/1989]',22.787,-22.787,-0.096,
'[16:13:00.450 24/04/1989]',22.412,-22.412,2.879,
'[16:13:00.460 24/04/1989]',21.474,-21.474,5.374,
'[16:13:00.470 24/04/1989]',16.598,-16.598,1.152,
'[16:13:00.480 24/04/1989]',16.035,-16.035,1.727,
'[16:13:00.490 24/04/1989]',11.347,-11.347,-11.037,
'[16:13:00.500 24/04/1989]',11.534,-11.534,-11.133,
'[16:13:00.510 24/04/1989]',15.379,-15.379,-10.365,
'[16:13:00.520 24/04/1989]',15.191,-15.191,-6.142,
'[16:13:00.530 24/04/1989]',14.441,-14.441,-2.399,
'[16:13:00.540 24/04/1989]',16.598,-16.598,-1.727,
'[16:13:00.550 24/04/1989]',17.067,-17.067,-2.207,
'[16:13:00.560 24/04/1989]',12.753,-12.753,3.839,
'[16:13:00.570 24/04/1989]',9.002,-9.002,0.96,
'[16:13:00.580 24/04/1989]',6.095,-6.095,4.607,
'[16:13:00.590 24/04/1989]',9.002,-9.002,0.672,
'[16:13:00.600 24/04/1989]',7.502,-7.502,0.768,
'[16:13:00.610 24/04/1989]',8.533,-8.533,-3.551,
'[16:13:00.620 24/04/1989]',5.439,-5.439,-3.455,
'[16:13:00.630 24/04/1989]',2.626,-2.626,-1.056,
'[16:13:00.640 24/04/1989]',1.875,-1.875,-1.823,
'[16:13:00.650 24/04/1989]',5.72,-5.72,4.223,
'[16:13:00.660 24/04/1989]',5.908,-5.908,7.486,
'[16:13:00.670 24/04/1989]',4.314,-4.314,3.167,
'[16:13:00.680 24/04/1989]',5.064,-5.064,5.566,
'[16:13:00.690 24/04/1989]',5.908,-5.908,2.495,
'[16:13:00.700 24/04/1989]',3.751,-3.751,0.576,
'[16:13:00.710 24/04/1989]',0.656,-0.656,-2.975,
'[16:13:00.720 24/04/1989]',3.751,-3.751,0.576,
'[16:13:00.730 24/04/1989]',4.97,-4.97,-0.96,
'[16:13:00.740 24/04/1989]',2.907,-2.907,3.359,
'[16:13:00.750 24/04/1989]',1.5,-1.5,3.743,
'[16:13:00.760 24/04/1989]',1.407,-1.407,9.693,
'[16:13:00.770 24/04/1989]',3.188,-3.188,8.158,
'[16:13:00.780 24/04/1989]',0.563,-0.563,6.334,
'[16:13:00.790 24/04/1989]',4.314,-4.314,0.288,
'[16:13:00.800 24/04/1989]',3.563,-3.563,5.182,
'[16:13:00.810 24/04/1989]',2.438,-2.438,1.056,
'[16:13:00.820 24/04/1989]',0.281,-0.281,5.854,
'[16:13:00.830 24/04/1989]',0.844,-0.844,3.935,
'[16:13:00.840 24/04/1989]',1.313,-1.313,13.82,
'[16:13:00.850 24/04/1989]',8.815,-8.815,15.067,
'[16:13:00.860 24/04/1989]',10.409,-10.409,18.33,
'[16:13:00.870 24/04/1989]',7.127,-7.127,10.077,
'[16:13:00.880 24/04/1989]',6.095,-6.095,8.637,
'[16:13:00.890 24/04/1989]',5.251,-5.251,3.551,
'[16:13:00.900 24/04/1989]',5.251,-5.251,-1.536,
'[16:13:00.910 24/04/1989]',6.001,-6.001,-0.672,
'[16:13:00.920 24/04/1989]',1.125,-1.125,2.591,
'[16:13:00.930 24/04/1989]',3.657,3.657,7.774,
'[16:13:00.940 24/04/1989]',3.001,3.001,12.956,
'[16:13:00.950 24/04/1989]',7.783,-7.783,10.845,
'[16:13:00.960 24/04/1989]',26.538,-26.538,12.956,
'[16:13:00.970 24/04/1989]',14.347,-14.347,9.309,
'[16:13:00.980 24/04/1989]',49.137,-49.137,8.925,
'[16:13:00.990 24/04/1989]',63.766,-63.766,2.111,
'[16:13:01.000 24/04/1989]',63.953,-63.953,4.223,
'[16:13:01.010 24/04/1989]',63.859,-63.859,0.96,
'[16:13:01.020 24/04/1989]',62.922,-62.922,1.632,
'[16:13:01.030 24/04/1989]',61.327,-61.327,2.975,
'[16:13:01.040 24/04/1989]',59.452,-59.452,3.935,
'[16:13:01.050 24/04/1989]',56.264,-56.264,8.541,
'[16:13:01.060 24/04/1989]',50.637,-50.637,8.541,
'[16:13:01.070 24/04/1989]',48.949,-48.949,7.774,
'[16:13:01.080 24/04/1989]',36.009,-36.009,-2.879,
'[16:13:01.090 24/04/1989]',36.29,-36.29,-5.182,
'[16:13:01.100 24/04/1989]',25.788,-25.788,-3.167,
'[16:13:01.110 24/04/1989]',17.536,-17.536,1.056,
'[16:13:01.120 24/04/1989]',5.533,-5.533,8.925,
'[16:13:01.130 24/04/1989]',3.47,-3.47,9.213,
'[16:13:01.140 24/04/1989]',9.19,9.19,9.405,
'[16:13:01.150 24/04/1989]',16.41,16.41,4.99,
'[16:13:01.160 24/04/1989]',25.412,25.412,4.415,
'[16:13:01.170 24/04/1989]',31.226,31.226,-4.223,
'[16:13:01.180 24/04/1989]',31.977,31.977,-8.637,
'[16:13:01.190 24/04/1989]',29.351,29.351,-5.374,
'[16:13:01.200 24/04/1989]',31.601,31.601,0,
'[16:13:01.210 24/04/1989]',33.664,33.664,3.647,
'[16:13:01.220 24/04/1989]',38.541,38.541,9.597,
'[16:13:01.230 24/04/1989]',37.415,37.415,15.547,
'[16:13:01.240 24/04/1989]',35.915,35.915,15.355,
'[16:13:01.250 24/04/1989]',35.54,35.54,20.538,
'[16:13:01.260 24/04/1989]',36.571,36.571,13.628,
'[16:13:01.270 24/04/1989]',33.664,33.664,14.012,
'[16:13:01.280 24/04/1989]',34.79,34.79,7.39,
'[16:13:01.290 24/04/1989]',38.447,38.447,2.591,
'[16:13:01.300 24/04/1989]',44.542,44.542,4.223,
'[16:13:01.310 24/04/1989]',12.003,12.003,10.173,
'[16:13:01.320 24/04/1989]',30.57,30.57,10.941,
'[16:13:01.330 24/04/1989]',30.851,30.851,9.501,
'[16:13:01.340 24/04/1989]',33.289,33.289,12.476,
'[16:13:01.350 24/04/1989]',29.82,29.82,11.804,
'[16:13:01.360 24/04/1989]',30.851,30.851,3.839,
'[16:13:01.370 24/04/1989]',24.662,24.662,10.653,
'[16:13:01.380 24/04/1989]',19.317,19.317,11.325,
'[16:13:01.390 24/04/1989]',18.473,18.473,6.142,
'[16:13:01.400 24/04/1989]',19.974,19.974,11.325,
'[16:13:01.410 24/04/1989]',17.723,17.723,15.451,
'[16:13:01.420 24/04/1989]',20.724,20.724,16.603,
'[16:13:01.430 24/04/1989]',25.319,25.319,11.708,
'[16:13:01.440 24/04/1989]',6.377,-6.377,10.173,
'[16:13:01.450 24/04/1989]',7.408,-7.408,9.885,
'[16:13:01.460 24/04/1989]',16.785,-16.785,9.789,
'[16:13:01.470 24/04/1989]',38.447,-38.447,5.086,
'[16:13:01.480 24/04/1989]',47.449,-47.449,0.96,
'[16:13:01.490 24/04/1989]',47.824,-47.824,1.919,
'[16:13:01.500 24/04/1989]',48.012,-48.012,4.511,
'[16:13:01.510 24/04/1989]',47.449,-47.449,5.374,
'[16:13:01.520 24/04/1989]',43.323,-43.323,2.975,
'[16:13:01.530 24/04/1989]',35.727,-35.727,6.142,
'[16:13:01.540 24/04/1989]',23.068,-23.068,8.158,
'[16:13:01.550 24/04/1989]',15.566,-15.566,8.541,
'[16:13:01.560 24/04/1989]',6.564,-6.564,9.693,
'[16:13:01.570 24/04/1989]',4.407,4.407,4.319,
'[16:13:01.580 24/04/1989]',13.785,13.785,4.319,
'[16:13:01.590 24/04/1989]',16.879,16.879,3.551,
'[16:13:01.600 24/04/1989]',28.882,28.882,0,
'[16:13:01.610 24/04/1989]',36.665,36.665,-3.839,
'[16:13:01.620 24/04/1989]',37.228,37.228,-0.288,
'[16:13:01.630 24/04/1989]',44.448,44.448,4.799,
'[16:13:01.640 24/04/1989]',41.823,41.823,4.031,
'[16:13:01.650 24/04/1989]',47.262,47.262,3.263,
'[16:13:01.660 24/04/1989]',47.168,47.168,6.142,
'[16:13:01.670 24/04/1989]',46.699,46.699,5.566,
'[16:13:01.680 24/04/1989]',45.292,45.292,8.158,
'[16:13:01.690 24/04/1989]',46.793,46.793,5.854,
'[16:13:01.700 24/04/1989]',45.011,45.011,3.455,
'[16:13:01.710 24/04/1989]',42.479,42.479,-2.879,
'[16:13:01.720 24/04/1989]',40.885,40.885,0.48,
'[16:13:01.730 24/04/1989]',44.917,44.917,-0.192,
'[16:13:01.740 24/04/1989]',36.384,36.384,4.127,
'[16:13:01.750 24/04/1989]',33.102,33.102,0.096,
'[16:13:01.760 24/04/1989]',38.166,38.166,4.607,
'[16:13:01.770 24/04/1989]',29.163,29.163,5.566,
'[16:13:01.780 24/04/1989]',27.007,27.007,2.111,
'[16:13:01.790 24/04/1989]',27.475,27.475,5.566,
'[16:13:01.800 24/04/1989]',19.974,19.974,2.783,
'[16:13:01.810 24/04/1989]',21.849,21.849,3.935,
'[16:13:01.820 24/04/1989]',16.973,16.973,7.486,
'[16:13:01.830 24/04/1989]',16.598,16.598,10.173,
'[16:13:01.840 24/04/1989]',15.473,15.473,9.213,
'[16:13:01.850 24/04/1989]',10.409,10.409,11.612,
'[16:13:01.860 24/04/1989]',15.754,15.754,5.662,
'[16:13:01.870 24/04/1989]',13.222,13.222,3.743,
'[16:13:01.880 24/04/1989]',6.752,6.752,-0.48,
'[16:13:01.890 24/04/1989]',13.691,13.691,-4.415,
'[16:13:01.900 24/04/1989]',12.566,12.566,-4.031,
'[16:13:01.910 24/04/1989]',13.128,13.128,-2.015,
'[16:13:01.920 24/04/1989]',11.159,11.159,-0.672,
'[16:13:01.930 24/04/1989]',17.067,17.067,-4.127,
'[16:13:01.940 24/04/1989]',12.003,12.003,-2.975,
'[16:13:01.950 24/04/1989]',11.815,11.815,-2.111,
'[16:13:01.960 24/04/1989]',2.438,2.438,-2.015,
'[16:13:01.970 24/04/1989]',10.221,10.221,-2.303,
'[16:13:01.980 24/04/1989]',6.658,6.658,-2.783,
'[16:13:01.990 24/04/1989]',10.971,10.971,-4.031,
'[16:13:02.000 24/04/1989]',4.501,4.501,-6.718,
'[16:13:02.010 24/04/1989]',2.626,-2.626,-8.158,
'[16:13:02.020 24/04/1989]',0.75,-0.75,-5.854,
'[16:13:02.030 24/04/1989]',4.032,-4.032,-3.743,
'[16:13:02.040 24/04/1989]',1.5,-1.5,-6.334,
'[16:13:02.050 24/04/1989]',5.158,-5.158,-4.223,
'[16:13:02.060 24/04/1989]',2.532,-2.532,-8.733,
'[16:13:02.070 24/04/1989]',1.782,-1.782,-9.117,
'[16:13:02.080 24/04/1989]',6.095,6.095,-12.476,
'[16:13:02.090 24/04/1989]',5.814,-5.814,-14.684,
'[16:13:02.100 24/04/1989]',5.439,-5.439,-18.042,
'[16:13:02.110 24/04/1989]',7.127,-7.127,-14.779,
'[16:13:02.120 24/04/1989]',3.751,3.751,-15.163,
'[16:13:02.130 24/04/1989]',2.251,-2.251,-12.092,
'[16:13:02.140 24/04/1989]',6.658,-6.658,-13.628,
'[16:13:02.150 24/04/1989]',2.251,-2.251,-19.77,
'[16:13:02.160 24/04/1989]',5.814,-5.814,-18.618,
'[16:13:02.170 24/04/1989]',2.251,-2.251,-16.315,
'[16:13:02.180 24/04/1989]',4.314,4.314,-19.29,
'[16:13:02.190 24/04/1989]',6.564,6.564,-17.659,
'[16:13:02.200 24/04/1989]',3.751,3.751,-17.083,
'[16:13:02.210 24/04/1989]',4.22,4.22,-9.597,
'[16:13:02.220 24/04/1989]',3.657,3.657,-8.541,
'[16:13:02.230 24/04/1989]',3.001,3.001,-8.253,
'[16:13:02.240 24/04/1989]',1.782,1.782,-8.062,
'[16:13:02.250 24/04/1989]',1.407,1.407,-3.167,
'[16:13:02.260 24/04/1989]',1.875,-1.875,-10.749,
'[16:13:02.270 24/04/1989]',5.439,-5.439,-8.733,
'[16:13:02.280 24/04/1989]',3.563,-3.563,-2.687,
'[16:13:02.290 24/04/1989]',4.876,-4.876,-10.269,
'[16:13:02.300 24/04/1989]',20.63,20.63,-15.643,
'[16:13:02.310 24/04/1989]',26.538,-26.538,2.495,
'[16:13:02.320 24/04/1989]',21.193,-21.193,-1.44,
'[16:13:02.330 24/04/1989]',43.604,-43.604,-14.971,
'[16:13:02.340 24/04/1989]',25.694,-25.694,-12.38,
'[16:13:02.350 24/04/1989]',58.889,-58.889,-13.532,
'[16:13:02.360 24/04/1989]',65.36,-65.36,-13.436,
'[16:13:02.370 24/04/1989]',67.798,-67.798,-15.931,
'[16:13:02.380 24/04/1989]',58.045,-58.045,-18.426,
'[16:13:02.390 24/04/1989]',41.635,-41.635,-20.73,
'[16:13:02.400 24/04/1989]',68.454,-68.454,-12.284,
'[16:13:02.410 24/04/1989]',58.514,-58.514,-17.755,
'[16:13:02.420 24/04/1989]',73.705,-73.705,-18.81,
'[16:13:02.430 24/04/1989]',47.824,-47.824,-22.745,
'[16:13:02.440 24/04/1989]',55.138,-55.138,-4.895,
'[16:13:02.450 24/04/1989]',50.168,-50.168,-19.098,
'[16:13:02.460 24/04/1989]',45.386,-45.386,-10.845,
'[16:13:02.470 24/04/1989]',38.166,-38.166,-9.597,
'[16:13:02.480 24/04/1989]',34.321,-34.321,-3.743,
'[16:13:02.490 24/04/1989]',23.537,-23.537,-10.461,
'[16:13:02.500 24/04/1989]',10.127,-10.127,-6.43,
'[16:13:02.510 24/04/1989]',21.38,-21.38,-6.238,
'[16:13:02.520 24/04/1989]',17.536,-17.536,-13.724,
'[16:13:02.530 24/04/1989]',10.127,-10.127,-12.476,
'[16:13:02.540 24/04/1989]',15.754,-15.754,-9.309,
'[16:13:02.550 24/04/1989]',11.44,-11.44,-4.511,
'[16:13:02.560 24/04/1989]',3.376,-3.376,-10.845,
'[16:13:02.570 24/04/1989]',7.502,7.502,-6.046,
'[16:13:02.580 24/04/1989]',33.946,-33.946,-11.421,
'[16:13:02.590 24/04/1989]',12.659,-12.659,-13.916,
'[16:13:02.600 24/04/1989]',17.911,-17.911,-16.315,
'[16:13:02.610 24/04/1989]',20.63,-20.63,-10.653,
'[16:13:02.620 24/04/1989]',18.755,-18.755,-11.037,
'[16:13:02.630 24/04/1989]',15.848,-15.848,-6.142,
'[16:13:02.640 24/04/1989]',33.758,-33.758,-4.703,
'[16:13:02.650 24/04/1989]',49.325,-49.325,-9.213,
'[16:13:02.660 24/04/1989]',49.7,-49.7,-1.248,
'[16:13:02.670 24/04/1989]',55.045,-55.045,0.384,
'[16:13:02.680 24/04/1989]',53.732,-53.732,4.319,
'[16:13:02.690 24/04/1989]',51.2,-51.2,-0.576,
'[16:13:02.700 24/04/1989]',45.574,-45.574,1.152,
'[16:13:02.710 24/04/1989]',32.352,-32.352,-3.071,
'[16:13:02.720 24/04/1989]',25.037,-25.037,-2.975,
'[16:13:02.730 24/04/1989]',22.787,-22.787,-5.086,
'[16:13:02.740 24/04/1989]',0,0,-3.167,
'[16:13:02.750 24/04/1989]',9.19,9.19,-2.783,
'[16:13:02.760 24/04/1989]',17.442,17.442,-1.44,
'[16:13:02.770 24/04/1989]',24.287,24.287,-6.238,
'[16:13:02.780 24/04/1989]',32.633,32.633,-10.845,
'[16:13:02.790 24/04/1989]',34.884,34.884,-15.163,
'[16:13:02.800 24/04/1989]',43.979,43.979,-4.99,
'[16:13:02.810 24/04/1989]',47.074,47.074,-4.031,
'[16:13:02.820 24/04/1989]',46.23,46.23,11.229,
'[16:13:02.830 24/04/1989]',40.885,40.885,-0.576,
'[16:13:02.840 24/04/1989]',45.855,45.855,0.768,
'[16:13:02.850 24/04/1989]',45.574,45.574,-2.111,
'[16:13:02.860 24/04/1989]',17.16,17.16,0.48,
'[16:13:02.870 24/04/1989]',2.532,-2.532,0.864,
'[16:13:02.880 24/04/1989]',11.065,-11.065,2.783,
'[16:13:02.890 24/04/1989]',25.412,-25.412,-0.48,
'[16:13:02.900 24/04/1989]',40.416,-40.416,0.96,
'[16:13:02.910 24/04/1989]',45.292,-45.292,-2.303,
'[16:13:02.920 24/04/1989]',38.634,-38.634,-1.823,
'[16:13:02.930 24/04/1989]',35.915,-35.915,1.536,
'[16:13:02.940 24/04/1989]',28.226,-28.226,-3.839,
'[16:13:02.950 24/04/1989]',4.407,-4.407,-3.359,
'[16:13:02.960 24/04/1989]',11.44,11.44,-6.046,
'[16:13:02.970 24/04/1989]',26.069,26.069,-4.895,
'[16:13:02.980 24/04/1989]',42.292,42.292,-2.399,
'[16:13:02.990 24/04/1989]',44.73,44.73,-1.344,
'[16:13:03.000 24/04/1989]',53.169,53.169,-5.086,
'[16:13:03.010 24/04/1989]',58.889,58.889,-6.622,
'[16:13:03.020 24/04/1989]',63.766,63.766,-11.037,
'[16:13:03.030 24/04/1989]',63.953,63.953,-10.749,
'[16:13:03.040 24/04/1989]',63.953,63.953,-3.071,
'[16:13:03.050 24/04/1989]',61.703,61.703,-2.687,
'[16:13:03.060 24/04/1989]',58.983,58.983,-1.823,
'[16:13:03.070 24/04/1989]',54.201,54.201,3.935,
'[16:13:03.080 24/04/1989]',52.982,52.982,-1.823,
'[16:13:03.090 24/04/1989]',44.448,44.448,-5.182,
'[16:13:03.100 24/04/1989]',29.351,29.351,-3.743,
'[16:13:03.110 24/04/1989]',7.127,7.127,-1.248,
'[16:13:03.120 24/04/1989]',21.568,-21.568,1.344,
'[16:13:03.130 24/04/1989]',48.668,-48.668,0.384,
'[16:13:03.140 24/04/1989]',48.387,-48.387,6.334,
'[16:13:03.150 24/04/1989]',51.575,-51.575,9.405,
'[16:13:03.160 24/04/1989]',38.072,-38.072,10.557,
'[16:13:03.170 24/04/1989]',22.505,-22.505,6.814,
'[16:13:03.180 24/04/1989]',27.851,-27.851,3.647,
'[16:13:03.190 24/04/1989]',3.001,3.001,1.152,
'[16:13:03.200 24/04/1989]',25.788,25.788,4.895,
'[16:13:03.210 24/04/1989]',37.415,37.415,2.495,
'[16:13:03.220 24/04/1989]',43.136,43.136,3.167,
'[16:13:03.230 24/04/1989]',51.481,51.481,3.551,
'[16:13:03.240 24/04/1989]',53.919,53.919,3.743,
'[16:13:03.250 24/04/1989]',53.075,53.075,0.288,
'[16:13:03.260 24/04/1989]',61.984,61.984,1.727,
'[16:13:03.270 24/04/1989]',60.296,60.296,1.248,
'[16:13:03.280 24/04/1989]',54.388,54.388,3.263,
'[16:13:03.290 24/04/1989]',44.448,44.448,-0.192,
'[16:13:03.300 24/04/1989]',45.011,45.011,6.046,
'[16:13:03.310 24/04/1989]',18.567,-18.567,6.334,
'[16:13:03.320 24/04/1989]',40.979,-40.979,2.975,
'[16:13:03.330 24/04/1989]',36.571,-36.571,1.919,
'[16:13:03.340 24/04/1989]',50.075,-50.075,10.077,
'[16:13:03.350 24/04/1989]',41.26,-41.26,5.854,
'[16:13:03.360 24/04/1989]',23.349,-23.349,8.253,
'[16:13:03.370 24/04/1989]',12.659,-12.659,11.037,
'[16:13:03.380 24/04/1989]',7.971,7.971,6.814,
'[16:13:03.390 24/04/1989]',27.194,27.194,5.758,
'[16:13:03.400 24/04/1989]',24.756,24.756,5.278,
'[16:13:03.410 24/04/1989]',40.885,40.885,2.207,
'[16:13:03.420 24/04/1989]',46.418,46.418,-2.591,
'[16:13:03.430 24/04/1989]',52.982,52.982,-4.607,
'[16:13:03.440 24/04/1989]',55.138,55.138,-3.551,
'[16:13:03.450 24/04/1989]',64.516,64.516,2.879,
'[16:13:03.460 24/04/1989]',56.639,56.639,5.854,
'[16:13:03.470 24/04/1989]',57.201,57.201,8.062,
'[16:13:03.480 24/04/1989]',49.137,49.137,8.349,
'[16:13:03.490 24/04/1989]',69.017,69.017,4.895,
'[16:13:03.500 24/04/1989]',9.377,9.377,8.925,
'[16:13:03.510 24/04/1989]',24.381,24.381,9.981,
'[16:13:03.520 24/04/1989]',25.131,25.131,13.34,
'[16:13:03.530 24/04/1989]',9.94,-9.94,9.597,
'[16:13:03.540 24/04/1989]',18.192,18.192,5.182,
'[16:13:03.550 24/04/1989]',15.004,15.004,4.799,
'[16:13:03.560 24/04/1989]',18.848,18.848,7.198,
'[16:13:03.570 24/04/1989]',12.003,12.003,9.309,
'[16:13:03.580 24/04/1989]',17.442,17.442,10.077,
'[16:13:03.590 24/04/1989]',21.286,21.286,10.365,
'[16:13:03.600 24/04/1989]',7.033,7.033,8.349,
'[16:13:03.610 24/04/1989]',6.939,6.939,6.142,
'[16:13:03.620 24/04/1989]',17.442,17.442,6.142,
'[16:13:03.630 24/04/1989]',9.94,9.94,8.445,
'[16:13:03.640 24/04/1989]',6.095,6.095,11.037,
'[16:13:03.650 24/04/1989]',9.846,9.846,10.653,
'[16:13:03.660 24/04/1989]',10.69,10.69,6.622,
'[16:13:03.670 24/04/1989]',12.659,12.659,7.294,
'[16:13:03.680 24/04/1989]',14.347,14.347,6.334,
'[16:13:03.690 24/04/1989]',15.566,15.566,7.006,
'[16:13:03.700 24/04/1989]',9.659,9.659,8.349,
'[16:13:03.710 24/04/1989]',11.909,11.909,7.966,
'[16:13:03.720 24/04/1989]',13.597,13.597,12.476,
'[16:13:03.730 24/04/1989]',8.627,8.627,8.541,
'[16:13:03.740 24/04/1989]',4.595,4.595,10.269,
'[16:13:03.750 24/04/1989]',9.565,9.565,3.839,
'[16:13:03.760 24/04/1989]',24.287,24.287,5.662,
'[16:13:03.770 24/04/1989]',17.629,17.629,4.415,
'[16:13:03.780 24/04/1989]',17.723,17.723,4.319,
'[16:13:03.790 24/04/1989]',10.596,10.596,8.349,
'[16:13:03.800 24/04/1989]',3.47,3.47,9.981,
'[16:13:03.810 24/04/1989]',9.284,9.284,11.037,
'[16:13:03.820 24/04/1989]',2.251,-2.251,11.325,
'[16:13:03.830 24/04/1989]',6.564,6.564,10.749,
'[16:13:03.840 24/04/1989]',4.032,4.032,6.238,
'[16:13:03.850 24/04/1989]',5.533,5.533,6.334,
'[16:13:03.860 24/04/1989]',3.47,3.47,5.086,
'[16:13:03.870 24/04/1989]',2.719,-2.719,7.102,
'[16:13:03.880 24/04/1989]',5.908,-5.908,6.91,
'[16:13:03.890 24/04/1989]',7.502,7.502,5.374,
'[16:13:03.900 24/04/1989]',11.44,-11.44,8.445,
'[16:13:03.910 24/04/1989]',4.876,-4.876,3.071,
'[16:13:03.920 24/04/1989]',13.597,-13.597,2.111,
'[16:13:03.930 24/04/1989]',8.158,-8.158,2.015,
'[16:13:03.940 24/04/1989]',24.475,-24.475,1.823,
'[16:13:03.950 24/04/1989]',10.971,-10.971,0.864,
'[16:13:03.960 24/04/1989]',11.815,-11.815,0.576,
'[16:13:03.970 24/04/1989]',18.848,-18.848,3.071,
'[16:13:03.980 24/04/1989]',21.568,-21.568,5.278,
'[16:13:03.990 24/04/1989]',13.785,-13.785,4.319,
'[16:13:04.000 24/04/1989]',25.037,-25.037,3.647,
'[16:13:04.010 24/04/1989]',38.822,-38.822,2.879,
'[16:13:04.020 24/04/1989]',58.421,-58.421,0.096,
'[16:13:04.030 24/04/1989]',65.453,-65.453,-5.662,
'[16:13:04.040 24/04/1989]',90.866,-90.866,-8.637,
'[16:13:04.050 24/04/1989]',88.615,-88.615,-9.309,
'[16:13:04.060 24/04/1989]',89.647,-89.647,-5.086,
'[16:13:04.070 24/04/1989]',88.147,-88.147,-2.399,
'[16:13:04.080 24/04/1989]',83.739,-83.739,-0.384,
'[16:13:04.090 24/04/1989]',81.02,-81.02,4.799,
'[16:13:04.100 24/04/1989]',63.578,-63.578,2.687,
'[16:13:04.110 24/04/1989]',55.42,-55.42,0.672,
'[16:13:04.120 24/04/1989]',37.978,-37.978,0.192,
'[16:13:04.130 24/04/1989]',24.193,-24.193,-0.768,
'[16:13:04.140 24/04/1989]',12.753,-12.753,2.975,
'[16:13:04.150 24/04/1989]',0.375,0.375,1.632,
'[16:13:04.160 24/04/1989]',5.72,5.72,2.975,
'[16:13:04.170 24/04/1989]',10.034,10.034,1.248,
'[16:13:04.180 24/04/1989]',17.723,17.723,1.823,
'[16:13:04.190 24/04/1989]',19.88,19.88,-2.015,
'[16:13:04.200 24/04/1989]',23.443,23.443,-5.566,
'[16:13:04.210 24/04/1989]',19.505,19.505,-4.031,
'[16:13:04.220 24/04/1989]',21.849,21.849,-1.823,
'[16:13:04.230 24/04/1989]',25.694,25.694,1.44,
'[16:13:04.240 24/04/1989]',17.723,17.723,1.919,
'[16:13:04.250 24/04/1989]',16.598,16.598,-0.672,
'[16:13:04.260 24/04/1989]',9.096,9.096,2.207,
'[16:13:04.270 24/04/1989]',1.782,-1.782,2.495,
'[16:13:04.280 24/04/1989]',17.067,-17.067,0.096,
'[16:13:04.290 24/04/1989]',32.164,-32.164,-0.864,
'[16:13:04.300 24/04/1989]',38.822,-38.822,-3.167,
'[16:13:04.310 24/04/1989]',77.738,-77.738,-3.263,
'[16:13:04.320 24/04/1989]',76.8,-76.8,-4.607,
'[16:13:04.330 24/04/1989]',74.081,-74.081,-3.743,
'[16:13:04.340 24/04/1989]',67.235,-67.235,-6.334,
