'Time and date','EEG Fpz-Cz','EEG Pz-Oz','EOG horizontal','Resp oro-nasal','EMG submental','Temp rectal','Event marker'
'[16:13:00.680 24/04/1989]',-5.064,5.566,7.392,-482.000,3.552,37.206,920.000
'[16:13:00.690 24/04/1989]',-5.908,2.495,6.406,-482.000,3.552,37.206,920.000
'[16:13:00.700 24/04/1989]',-3.751,0.576,7.392,-482.000,3.552,37.206,920.000
'[16:13:00.710 24/04/1989]',-0.656,-2.975,4.435,-482.000,3.552,37.206,920.000
'[16:13:00.720 24/04/1989]',-3.751,0.576,4.435,-482.000,3.552,37.206,920.000
'[16:13:00.730 24/04/1989]',-4.970,-0.960,3.450,-482.000,3.552,37.206,920.000
'[16:13:00.740 24/04/1989]',-2.907,3.359,15.277,-482.000,3.552,37.206,920.000
'[16:13:00.750 24/04/1989]',-1.500,3.743,11.334,-482.000,3.552,37.206,920.000
'[16:13:00.760 24/04/1989]',-1.407,9.693,16.262,-482.000,3.552,37.206,920.000
'[16:13:00.770 24/04/1989]',-3.188,8.158,7.885,-482.000,3.552,37.206,920.000
'[16:13:00.780 24/04/1989]',-0.563,6.334,11.827,-482.000,3.552,37.206,920.000
'[16:13:00.790 24/04/1989]',-4.314,0.288,16.262,-482.000,3.552,37.206,920.000
'[16:13:00.800 24/04/1989]',-3.563,5.182,13.798,-482.000,3.552,37.206,920.000
'[16:13:00.810 24/04/1989]',-2.438,1.056,16.755,-482.000,3.552,37.206,920.000
'[16:13:00.820 24/04/1989]',-0.281,5.854,14.784,-482.000,3.552,37.206,920.000
'[16:13:00.830 24/04/1989]',-0.844,3.935,16.755,-482.000,3.552,37.206,920.000
'[16:13:00.840 24/04/1989]',-1.313,13.820,25.133,-482.000,3.552,37.206,920.000
'[16:13:00.850 24/04/1989]',-8.815,15.067,18.233,-482.000,3.552,37.206,920.000
'[16:13:00.860 24/04/1989]',-10.409,18.330,17.741,-482.000,3.552,37.206,920.000
'[16:13:00.870 24/04/1989]',-7.127,10.077,23.654,-482.000,3.552,37.206,920.000
'[16:13:00.880 24/04/1989]',-6.095,8.637,22.669,-482.000,3.552,37.206,920.000
'[16:13:00.890 24/04/1989]',-5.251,3.551,17.741,-482.000,3.552,37.206,920.000
'[16:13:00.900 24/04/1989]',-5.251,-1.536,7.885,-482.000,3.552,37.206,920.000
'[16:13:00.910 24/04/1989]',-6.001,-0.672,13.798,-482.000,3.552,37.206,920.000
'[16:13:00.920 24/04/1989]',-1.125,2.591,35.481,-482.000,3.552,37.206,920.000
'[16:13:00.930 24/04/1989]',3.657,7.774,29.568,-482.000,3.552,37.206,920.000
'[16:13:00.940 24/04/1989]',3.001,12.956,21.683,-482.000,3.552,37.206,920.000
'[16:13:00.950 24/04/1989]',-7.783,10.845,28.089,-482.000,3.552,37.206,920.000
'[16:13:00.960 24/04/1989]',-26.538,12.956,30.553,-482.000,3.552,37.206,920.000
'[16:13:00.970 24/04/1989]',-14.347,9.309,26.611,-482.000,3.552,37.206,920.000
'[16:13:00.980 24/04/1989]',-49.137,8.925,15.769,-482.000,3.552,37.206,920.000
'[16:13:00.990 24/04/1989]',-63.766,2.111,27.597,-482.000,3.552,37.206,920.000
'[16:13:01.000 24/04/1989]',-63.953,4.223,10.349,628.000,3.490,37.228,899.000
'[16:13:01.010 24/04/1989]',-63.859,0.960,-7.885,628.000,3.490,37.228,899.000
'[16:13:01.020 24/04/1989]',-62.922,1.632,-1.478,628.000,3.490,37.228,899.000
'[16:13:01.030 24/04/1989]',-61.327,2.975,-8.870,628.000,3.490,37.228,899.000
'[16:13:01.040 24/04/1989]',-59.452,3.935,-14.784,628.000,3.490,37.228,899.000
'[16:13:01.050 24/04/1989]',-56.264,8.541,-25.625,628.000,3.490,37.228,899.000
'[16:13:01.060 24/04/1989]',-50.637,8.541,-42.380,628.000,3.490,37.228,899.000
'[16:13:01.070 24/04/1989]',-48.949,7.774,-60.614,628.000,3.490,37.228,899.000
'[16:13:01.080 24/04/1989]',-36.009,-2.879,-71.948,628.000,3.490,37.228,899.000
'[16:13:01.090 24/04/1989]',-36.290,-5.182,-93.631,628.000,3.490,37.228,899.000
'[16:13:01.100 24/04/1989]',-25.788,-3.167,-111.865,628.000,3.490,37.228,899.000
'[16:13:01.110 24/04/1989]',-17.536,1.056,-118.271,628.000,3.490,37.228,899.000
'[16:13:01.120 24/04/1989]',-5.533,8.925,-130.098,628.000,3.490,37.228,899.000
'[16:13:01.130 24/04/1989]',-3.470,9.213,-133.055,628.000,3.490,37.228,899.000
'[16:13:01.140 24/04/1989]',9.190,9.405,-148.332,628.000,3.490,37.228,899.000
'[16:13:01.150 24/04/1989]',16.410,4.990,-145.868,628.000,3.490,37.228,899.000
'[16:13:01.160 24/04/1989]',25.412,4.415,-137.490,628.000,3.490,37.228,899.000
'[16:13:01.170 24/04/1989]',31.226,-4.223,-132.562,628.000,3.490,37.228,899.000
'[16:13:01.180 24/04/1989]',31.977,-8.637,-135.026,628.000,3.490,37.228,899.000
'[16:13:01.190 24/04/1989]',29.351,-5.374,-126.649,628.000,3.490,37.228,899.000
'[16:13:01.200 24/04/1989]',31.601,0.000,-123.199,628.000,3.490,37.228,899.000
'[16:13:01.210 24/04/1989]',33.664,3.647,-120.242,628.000,3.490,37.228,899.000
'[16:13:01.220 24/04/1989]',38.541,9.597,-116.793,628.000,3.490,37.228,899.000
'[16:13:01.230 24/04/1989]',37.415,15.547,-110.386,628.000,3.490,37.228,899.000
'[16:13:01.240 24/04/1989]',35.915,15.355,-102.009,628.000,3.490,37.228,899.000
'[16:13:01.250 24/04/1989]',35.540,20.538,-99.052,628.000,3.490,37.228,899.000
'[16:13:01.260 24/04/1989]',36.571,13.628,-95.110,628.000,3.490,37.228,899.000
'[16:13:01.270 24/04/1989]',33.664,14.012,-99.052,628.000,3.490,37.228,899.000
'[16:13:01.280 24/04/1989]',34.790,7.390,-85.254,628.000,3.490,37.228,899.000
'[16:13:01.290 24/04/1989]',38.447,2.591,-84.761,628.000,3.490,37.228,899.000
'[16:13:01.300 24/04/1989]',44.542,4.223,-87.225,628.000,3.490,37.228,899.000
'[16:13:01.310 24/04/1989]',12.003,10.173,-75.891,628.000,3.490,37.228,899.000
'[16:13:01.320 24/04/1989]',30.570,10.941,-91.167,628.000,3.490,37.228,899.000
'[16:13:01.330 24/04/1989]',30.851,9.501,-94.124,628.000,3.490,37.228,899.000
'[16:13:01.340 24/04/1989]',33.289,12.476,-91.167,628.000,3.490,37.228,899.000
'[16:13:01.350 24/04/1989]',29.820,11.804,-95.110,628.000,3.490,37.228,899.000
'[16:13:01.360 24/04/1989]',30.851,3.839,-91.660,628.000,3.490,37.228,899.000
'[16:13:01.370 24/04/1989]',24.662,10.653,-82.297,628.000,3.490,37.228,899.000
'[16:13:01.380 24/04/1989]',19.317,11.325,-82.790,628.000,3.490,37.228,899.000
'[16:13:01.390 24/04/1989]',18.473,6.142,-82.790,628.000,3.490,37.228,899.000
'[16:13:01.400 24/04/1989]',19.974,11.325,-78.847,628.000,3.490,37.228,899.000
'[16:13:01.410 24/04/1989]',17.723,15.451,-73.427,628.000,3.490,37.228,899.000
'[16:13:01.420 24/04/1989]',20.724,16.603,-75.891,628.000,3.490,37.228,899.000
'[16:13:01.430 24/04/1989]',25.319,11.708,-62.585,628.000,3.490,37.228,899.000
'[16:13:01.440 24/04/1989]',-6.377,10.173,-64.063,628.000,3.490,37.228,899.000
'[16:13:01.450 24/04/1989]',-7.408,9.885,-65.049,628.000,3.490,37.228,899.000
'[16:13:01.460 24/04/1989]',-16.785,9.789,-73.427,628.000,3.490,37.228,899.000
'[16:13:01.470 24/04/1989]',-38.447,5.086,-33.510,628.000,3.490,37.228,899.000
'[16:13:01.480 24/04/1989]',-47.449,0.960,-25.133,628.000,3.490,37.228,899.000
'[16:13:01.490 24/04/1989]',-47.824,1.919,11.334,628.000,3.490,37.228,899.000
'[16:13:01.500 24/04/1989]',-48.012,4.511,43.366,628.000,3.490,37.228,899.000
'[16:13:01.510 24/04/1989]',-47.449,5.374,40.902,628.000,3.490,37.228,899.000
'[16:13:01.520 24/04/1989]',-43.323,2.975,42.380,628.000,3.490,37.228,899.000
'[16:13:01.530 24/04/1989]',-35.727,6.142,37.945,628.000,3.490,37.228,899.000
'[16:13:01.540 24/04/1989]',-23.068,8.158,34.003,628.000,3.490,37.228,899.000
'[16:13:01.550 24/04/1989]',-15.566,8.541,42.873,628.000,3.490,37.228,899.000
'[16:13:01.560 24/04/1989]',-6.564,9.693,33.017,628.000,3.490,37.228,899.000
'[16:13:01.570 24/04/1989]',4.407,4.319,39.424,628.000,3.490,37.228,899.000
'[16:13:01.580 24/04/1989]',13.785,4.319,36.960,628.000,3.490,37.228,899.000
'[16:13:01.590 24/04/1989]',16.879,3.551,46.323,628.000,3.490,37.228,899.000
'[16:13:01.600 24/04/1989]',28.882,0.000,40.409,628.000,3.490,37.228,899.000
'[16:13:01.610 24/04/1989]',36.665,-3.839,47.801,628.000,3.490,37.228,899.000
'[16:13:01.620 24/04/1989]',37.228,-0.288,38.438,628.000,3.490,37.228,899.000
'[16:13:01.630 24/04/1989]',44.448,4.799,39.424,628.000,3.490,37.228,899.000
'[16:13:01.640 24/04/1989]',41.823,4.031,35.481,628.000,3.490,37.228,899.000
'[16:13:01.650 24/04/1989]',47.262,3.263,40.409,628.000,3.490,37.228,899.000
'[16:13:01.660 24/04/1989]',47.168,6.142,34.989,628.000,3.490,37.228,899.000
'[16:13:01.670 24/04/1989]',46.699,5.566,33.510,628.000,3.490,37.228,899.000
'[16:13:01.680 24/04/1989]',45.292,8.158,35.481,628.000,3.490,37.228,899.000
'[16:13:01.690 24/04/1989]',46.793,5.854,44.844,628.000,3.490,37.228,899.000
'[16:13:01.700 24/04/1989]',45.011,3.455,47.308,628.000,3.490,37.228,899.000
'[16:13:01.710 24/04/1989]',42.479,-2.879,44.844,628.000,3.490,37.228,899.000
'[16:13:01.720 24/04/1989]',40.885,0.480,31.046,628.000,3.490,37.228,899.000
'[16:13:01.730 24/04/1989]',44.917,-0.192,46.323,628.000,3.490,37.228,899.000
'[16:13:01.740 24/04/1989]',36.384,4.127,29.075,628.000,3.490,37.228,899.000
'[16:13:01.750 24/04/1989]',33.102,0.096,35.974,628.000,3.490,37.228,899.000
'[16:13:01.760 24/04/1989]',38.166,4.607,39.424,628.000,3.490,37.228,899.000
'[16:13:01.770 24/04/1989]',29.163,5.566,29.568,628.000,3.490,37.228,899.000
'[16:13:01.780 24/04/1989]',27.007,2.111,26.611,628.000,3.490,37.228,899.000
'[16:13:01.790 24/04/1989]',27.475,5.566,16.262,628.000,3.490,37.228,899.000
'[16:13:01.800 24/04/1989]',19.974,2.783,23.654,628.000,3.490,37.228,899.000
'[16:13:01.810 24/04/1989]',21.849,3.935,18.233,628.000,3.490,37.228,899.000
'[16:13:01.820 24/04/1989]',16.973,7.486,30.553,628.000,3.490,37.228,899.000
'[16:13:01.830 24/04/1989]',16.598,10.173,25.133,628.000,3.490,37.228,899.000
'[16:13:01.840 24/04/1989]',15.473,9.213,24.640,628.000,3.490,37.228,899.000
'[16:13:01.850 24/04/1989]',10.409,11.612,26.118,628.000,3.490,37.228,899.000
'[16:13:01.860 24/04/1989]',15.754,5.662,17.248,628.000,3.490,37.228,899.000
'[16:13:01.870 24/04/1989]',13.222,3.743,28.582,628.000,3.490,37.228,899.000
'[16:13:01.880 24/04/1989]',6.752,-0.480,12.813,628.000,3.490,37.228,899.000
'[16:13:01.890 24/04/1989]',13.691,-4.415,20.697,628.000,3.490,37.228,899.000
'[16:13:01.900 24/04/1989]',12.566,-4.031,16.262,628.000,3.490,37.228,899.000
'[16:13:01.910 24/04/1989]',13.128,-2.015,23.654,628.000,3.490,37.228,899.000
'[16:13:01.920 24/04/1989]',11.159,-0.672,19.219,628.000,3.490,37.228,899.000
'[16:13:01.930 24/04/1989]',17.067,-4.127,21.190,628.000,3.490,37.228,899.000
'[16:13:01.940 24/04/1989]',12.003,-2.975,16.262,628.000,3.490,37.228,899.000
'[16:13:01.950 24/04/1989]',11.815,-2.111,20.697,628.000,3.490,37.228,899.000
'[16:13:01.960 24/04/1989]',2.438,-2.015,25.625,628.000,3.490,37.228,899.000
'[16:13:01.970 24/04/1989]',10.221,-2.303,20.205,628.000,3.490,37.228,899.000
'[16:13:01.980 24/04/1989]',6.658,-2.783,21.683,628.000,3.490,37.228,899.000
'[16:13:01.990 24/04/1989]',10.971,-4.031,21.190,628.000,3.490,37.228,899.000
'[16:13:02.000 24/04/1989]',4.501,-6.718,23.161,-95.000,3.476,37.237,919.000
'[16:13:02.010 24/04/1989]',-2.626,-8.158,20.205,-95.000,3.476,37.237,919.000
'[16:13:02.020 24/04/1989]',-0.750,-5.854,18.726,-95.000,3.476,37.237,919.000
'[16:13:02.030 24/04/1989]',-4.032,-3.743,22.669,-95.000,3.476,37.237,919.000
'[16:13:02.040 24/04/1989]',-1.500,-6.334,22.669,-95.000,3.476,37.237,919.000
'[16:13:02.050 24/04/1989]',-5.158,-4.223,16.755,-95.000,3.476,37.237,919.000
'[16:13:02.060 24/04/1989]',-2.532,-8.733,18.233,-95.000,3.476,37.237,919.000
'[16:13:02.070 24/04/1989]',-1.782,-9.117,14.291,-95.000,3.476,37.237,919.000
'[16:13:02.080 24/04/1989]',6.095,-12.476,15.277,-95.000,3.476,37.237,919.000
'[16:13:02.090 24/04/1989]',-5.814,-14.684,10.842,-95.000,3.476,37.237,919.000
'[16:13:02.100 24/04/1989]',-5.439,-18.042,-35.974,-95.000,3.476,37.237,919.000
'[16:13:02.110 24/04/1989]',-7.127,-14.779,-47.801,-95.000,3.476,37.237,919.000
'[16:13:02.120 24/04/1989]',3.751,-15.163,-78.355,-95.000,3.476,37.237,919.000
'[16:13:02.130 24/04/1989]',-2.251,-12.092,-105.951,-95.000,3.476,37.237,919.000
'[16:13:02.140 24/04/1989]',-6.658,-13.628,-116.300,-95.000,3.476,37.237,919.000
'[16:13:02.150 24/04/1989]',-2.251,-19.770,-130.098,-95.000,3.476,37.237,919.000
'[16:13:02.160 24/04/1989]',-5.814,-18.618,-136.997,-95.000,3.476,37.237,919.000
'[16:13:02.170 24/04/1989]',-2.251,-16.315,-124.677,-95.000,3.476,37.237,919.000
'[16:13:02.180 24/04/1989]',4.314,-19.290,-130.098,-95.000,3.476,37.237,919.000
'[16:13:02.190 24/04/1989]',6.564,-17.659,-112.358,-95.000,3.476,37.237,919.000
'[16:13:02.200 24/04/1989]',3.751,-17.083,-104.473,-95.000,3.476,37.237,919.000
'[16:13:02.210 24/04/1989]',4.220,-9.597,-98.066,-95.000,3.476,37.237,919.000
'[16:13:02.220 24/04/1989]',3.657,-8.541,-85.254,-95.000,3.476,37.237,919.000
'[16:13:02.230 24/04/1989]',3.001,-8.253,-78.847,-95.000,3.476,37.237,919.000
'[16:13:02.240 24/04/1989]',1.782,-8.062,-71.455,-95.000,3.476,37.237,919.000
'[16:13:02.250 24/04/1989]',1.407,-3.167,-74.412,-95.000,3.476,37.237,919.000
'[16:13:02.260 24/04/1989]',-1.875,-10.749,-68.991,-95.000,3.476,37.237,919.000
'[16:13:02.270 24/04/1989]',-5.439,-8.733,-61.107,-95.000,3.476,37.237,919.000
'[16:13:02.280 24/04/1989]',-3.563,-2.687,-61.107,-95.000,3.476,37.237,919.000
'[16:13:02.290 24/04/1989]',-4.876,-10.269,-39.424,-95.000,3.476,37.237,919.000
'[16:13:02.300 24/04/1989]',20.630,-15.643,-50.265,-95.000,3.476,37.237,919.000
'[16:13:02.310 24/04/1989]',-26.538,2.495,-40.409,-95.000,3.476,37.237,919.000
'[16:13:02.320 24/04/1989]',-21.193,-1.440,-57.164,-95.000,3.476,37.237,919.000
'[16:13:02.330 24/04/1989]',-43.604,-14.971,-58.150,-95.000,3.476,37.237,919.000
'[16:13:02.340 24/04/1989]',-25.694,-12.380,-78.355,-95.000,3.476,37.237,919.000
'[16:13:02.350 24/04/1989]',-58.889,-13.532,-71.948,-95.000,3.476,37.237,919.000
'[16:13:02.360 24/04/1989]',-65.360,-13.436,-76.876,-95.000,3.476,37.237,919.000
'[16:13:02.370 24/04/1989]',-67.798,-15.931,-68.006,-95.000,3.476,37.237,919.000
'[16:13:02.380 24/04/1989]',-58.045,-18.426,-78.847,-95.000,3.476,37.237,919.000
'[16:13:02.390 24/04/1989]',-41.635,-20.730,-69.484,-95.000,3.476,37.237,919.000
'[16:13:02.400 24/04/1989]',-68.454,-12.284,-60.121,-95.000,3.476,37.237,919.000
'[16:13:02.410 24/04/1989]',-58.514,-17.755,-43.366,-95.000,3.476,37.237,919.000
'[16:13:02.420 24/04/1989]',-73.705,-18.810,-46.816,-95.000,3.476,37.237,919.000
'[16:13:02.430 24/04/1989]',-47.824,-22.745,-24.147,-95.000,3.476,37.237,919.000
'[16:13:02.440 24/04/1989]',-55.138,-4.895,-20.697,-95.000,3.476,37.237,919.000
'[16:13:02.450 24/04/1989]',-50.168,-19.098,-8.378,-95.000,3.476,37.237,919.000
'[16:13:02.460 24/04/1989]',-45.386,-10.845,6.406,-95.000,3.476,37.237,919.000
'[16:13:02.470 24/04/1989]',-38.166,-9.597,30.061,-95.000,3.476,37.237,919.000
'[16:13:02.480 24/04/1989]',-34.321,-3.743,34.496,-95.000,3.476,37.237,919.000
'[16:13:02.490 24/04/1989]',-23.537,-10.461,39.424,-95.000,3.476,37.237,919.000
'[16:13:02.500 24/04/1989]',-10.127,-6.430,59.628,-95.000,3.476,37.237,919.000
'[16:13:02.510 24/04/1989]',-21.380,-6.238,69.484,-95.000,3.476,37.237,919.000
'[16:13:02.520 24/04/1989]',-17.536,-13.724,81.311,-95.000,3.476,37.237,919.000
'[16:13:02.530 24/04/1989]',-10.127,-12.476,92.646,-95.000,3.476,37.237,919.000
'[16:13:02.540 24/04/1989]',-15.754,-9.309,89.689,-95.000,3.476,37.237,919.000
'[16:13:02.550 24/04/1989]',-11.440,-4.511,101.516,-95.000,3.476,37.237,919.000
'[16:13:02.560 24/04/1989]',-3.376,-10.845,119.257,-95.000,3.476,37.237,919.000
'[16:13:02.570 24/04/1989]',7.502,-6.046,119.749,-95.000,3.476,37.237,919.000
'[16:13:02.580 24/04/1989]',-33.946,-11.421,122.706,-95.000,3.476,37.237,919.000
'[16:13:02.590 24/04/1989]',-12.659,-13.916,107.922,-95.000,3.476,37.237,919.000
'[16:13:02.600 24/04/1989]',-17.911,-16.315,128.620,-95.000,3.476,37.237,919.000
'[16:13:02.610 24/04/1989]',-20.630,-10.653,136.505,-95.000,3.476,37.237,919.000
'[16:13:02.620 24/04/1989]',-18.755,-11.037,140.940,-95.000,3.476,37.237,919.000
'[16:13:02.630 24/04/1989]',-15.848,-6.142,138.968,-95.000,3.476,37.237,919.000
'[16:13:02.640 24/04/1989]',-33.758,-4.703,158.680,-95.000,3.476,37.237,919.000
'[16:13:02.650 24/04/1989]',-49.325,-9.213,136.012,-95.000,3.476,37.237,919.000
'[16:13:02.660 24/04/1989]',-49.700,-1.248,148.332,-95.000,3.476,37.237,919.000
'[16:13:02.670 24/04/1989]',-55.045,0.384,144.389,-95.000,3.476,37.237,919.000
'[16:13:02.680 24/04/1989]',-53.732,4.319,141.432,-95.000,3.476,37.237,919.000
'[16:13:02.690 24/04/1989]',-51.200,-0.576,136.997,-95.000,3.476,37.237,919.000
'[16:13:02.700 24/04/1989]',-45.574,1.152,162.130,-95.000,3.476,37.237,919.000
'[16:13:02.710 24/04/1989]',-32.352,-3.071,148.824,-95.000,3.476,37.237,919.000
'[16:13:02.720 24/04/1989]',-25.037,-2.975,165.087,-95.000,3.476,37.237,919.000
'[16:13:02.730 24/04/1989]',-22.787,-5.086,164.101,-95.000,3.476,37.237,919.000
'[16:13:02.740 24/04/1989]',0.000,-3.167,191.205,-95.000,3.476,37.237,919.000
'[16:13:02.750 24/04/1989]',9.190,-2.783,201.554,-95.000,3.476,37.237,919.000
'[16:13:02.760 24/04/1989]',17.442,-1.440,192.683,-95.000,3.476,37.237,919.000
'[16:13:02.770 24/04/1989]',24.287,-6.238,201.061,-95.000,3.476,37.237,919.000
'[16:13:02.780 24/04/1989]',32.633,-10.845,206.974,-95.000,3.476,37.237,919.000
'[16:13:02.790 24/04/1989]',34.884,-15.163,190.219,-95.000,3.476,37.237,919.000
'[16:13:02.800 24/04/1989]',43.979,-4.990,211.410,-95.000,3.476,37.237,919.000
'[16:13:02.810 24/04/1989]',47.074,-4.031,209.438,-95.000,3.476,37.237,919.000
'[16:13:02.820 24/04/1989]',46.230,11.229,222.251,-95.000,3.476,37.237,919.000
'[16:13:02.830 24/04/1989]',40.885,-0.576,217.323,-95.000,3.476,37.237,919.000
'[16:13:02.840 24/04/1989]',45.855,0.768,224.222,-95.000,3.476,37.237,919.000
'[16:13:02.850 24/04/1989]',45.574,-2.111,206.482,-95.000,3.476,37.237,919.000
