'Time and date',Temporary,EEG Fpz-Cz
'[16:13:00.980 24/04/1989]',-49.137,49.137
'[16:13:00.990 24/04/1989]',-63.766,63.766
'[16:13:01.000 24/04/1989]',-63.953,63.953
'[16:13:01.010 24/04/1989]',-63.859,63.859
'[16:13:01.020 24/04/1989]',-62.922,62.922
'[16:13:01.030 24/04/1989]',-61.327,61.327
'[16:13:01.040 24/04/1989]',-59.452,59.452
'[16:13:01.050 24/04/1989]',-56.264,56.264
'[16:13:01.060 24/04/1989]',-50.637,50.637
'[16:13:01.070 24/04/1989]',-48.949,48.949
'[16:13:01.080 24/04/1989]',-36.009,36.009
'[16:13:01.090 24/04/1989]',-36.29,36.29
'[16:13:01.100 24/04/1989]',-25.788,25.788
'[16:13:01.110 24/04/1989]',-17.536,17.536
'[16:13:01.120 24/04/1989]',-5.533,5.533
'[16:13:01.130 24/04/1989]',-3.47,3.47
'[16:13:01.140 24/04/1989]',9.19,9.19
'[16:13:01.150 24/04/1989]',16.41,16.41
'[16:13:01.160 24/04/1989]',25.412,25.412
'[16:13:01.170 24/04/1989]',31.226,31.226
'[16:13:01.180 24/04/1989]',31.977,31.977
'[16:13:01.190 24/04/1989]',29.351,29.351
'[16:13:01.200 24/04/1989]',31.601,31.601
'[16:13:01.210 24/04/1989]',33.664,33.664
'[16:13:01.220 24/04/1989]',38.541,38.541
'[16:13:01.230 24/04/1989]',37.415,37.415
'[16:13:01.240 24/04/1989]',35.915,35.915
'[16:13:01.250 24/04/1989]',35.54,35.54
'[16:13:01.260 24/04/1989]',36.571,36.571
'[16:13:01.270 24/04/1989]',33.664,33.664
'[16:13:01.280 24/04/1989]',34.79,34.79
'[16:13:01.290 24/04/1989]',38.447,38.447
'[16:13:01.300 24/04/1989]',44.542,44.542
'[16:13:01.310 24/04/1989]',12.003,12.003
'[16:13:01.320 24/04/1989]',30.57,30.57
'[16:13:01.330 24/04/1989]',30.851,30.851
'[16:13:01.340 24/04/1989]',33.289,33.289
'[16:13:01.350 24/04/1989]',29.82,29.82
'[16:13:01.360 24/04/1989]',30.851,30.851
'[16:13:01.370 24/04/1989]',24.662,24.662
'[16:13:01.380 24/04/1989]',19.317,19.317
'[16:13:01.390 24/04/1989]',18.473,18.473
'[16:13:01.400 24/04/1989]',19.974,19.974
'[16:13:01.410 24/04/1989]',17.723,17.723
'[16:13:01.420 24/04/1989]',20.724,20.724
'[16:13:01.430 24/04/1989]',25.319,25.319
'[16:13:01.440 24/04/1989]',-6.377,6.377
'[16:13:01.450 24/04/1989]',-7.408,7.408
'[16:13:01.460 24/04/1989]',-16.785,16.785
'[16:13:01.470 24/04/1989]',-38.447,38.447
'[16:13:01.480 24/04/1989]',-47.449,47.449
'[16:13:01.490 24/04/1989]',-47.824,47.824
'[16:13:01.500 24/04/1989]',-48.012,48.012
'[16:13:01.510 24/04/1989]',-47.449,47.449
'[16:13:01.520 24/04/1989]',-43.323,43.323
'[16:13:01.530 24/04/1989]',-35.727,35.727
'[16:13:01.540 24/04/1989]',-23.068,23.068
'[16:13:01.550 24/04/1989]',-15.566,15.566
'[16:13:01.560 24/04/1989]',-6.564,6.564
'[16:13:01.570 24/04/1989]',4.407,4.407
'[16:13:01.580 24/04/1989]',13.785,13.785
'[16:13:01.590 24/04/1989]',16.879,16.879
'[16:13:01.600 24/04/1989]',28.882,28.882
'[16:13:01.610 24/04/1989]',36.665,36.665
'[16:13:01.620 24/04/1989]',37.228,37.228
'[16:13:01.630 24/04/1989]',44.448,44.448
'[16:13:01.640 24/04/1989]',41.823,41.823
'[16:13:01.650 24/04/1989]',47.262,47.262
'[16:13:01.660 24/04/1989]',47.168,47.168
'[16:13:01.670 24/04/1989]',46.699,46.699
'[16:13:01.680 24/04/1989]',45.292,45.292
'[16:13:01.690 24/04/1989]',46.793,46.793
'[16:13:01.700 24/04/1989]',45.011,45.011
'[16:13:01.710 24/04/1989]',42.479,42.479
'[16:13:01.720 24/04/1989]',40.885,40.885
'[16:13:01.730 24/04/1989]',44.917,44.917
'[16:13:01.740 24/04/1989]',36.384,36.384
'[16:13:01.750 24/04/1989]',33.102,33.102
'[16:13:01.760 24/04/1989]',38.166,38.166
'[16:13:01.770 24/04/1989]',29.163,29.163
'[16:13:01.780 24/04/1989]',27.007,27.007
'[16:13:01.790 24/04/1989]',27.475,27.475
'[16:13:01.800 24/04/1989]',19.974,19.974
'[16:13:01.810 24/04/1989]',21.849,21.849
'[16:13:01.820 24/04/1989]',16.973,16.973
'[16:13:01.830 24/04/1989]',16.598,16.598
'[16:13:01.840 24/04/1989]',15.473,15.473
'[16:13:01.850 24/04/1989]',10.409,10.409
'[16:13:01.860 24/04/1989]',15.754,15.754
'[16:13:01.870 24/04/1989]',13.222,13.222
'[16:13:01.880 24/04/1989]',6.752,6.752
'[16:13:01.890 24/04/1989]',13.691,13.691
'[16:13:01.900 24/04/1989]',12.566,12.566
'[16:13:01.910 24/04/1989]',13.128,13.128
'[16:13:01.920 24/04/1989]',11.159,11.159
'[16:13:01.930 24/04/1989]',17.067,17.067
'[16:13:01.940 24/04/1989]',12.003,12.003
'[16:13:01.950 24/04/1989]',11.815,11.815
'[16:13:01.960 24/04/1989]',2.438,2.438
'[16:13:01.970 24/04/1989]',10.221,10.221
'[16:13:01.980 24/04/1989]',6.658,6.658
'[16:13:01.990 24/04/1989]',10.971,10.971
'[16:13:02.000 24/04/1989]',4.501,4.501
'[16:13:02.010 24/04/1989]',-2.626,2.626
'[16:13:02.020 24/04/1989]',-0.75,0.75
'[16:13:02.030 24/04/1989]',-4.032,4.032
'[16:13:02.040 24/04/1989]',-1.5,1.5
'[16:13:02.050 24/04/1989]',-5.158,5.158
'[16:13:02.060 24/04/1989]',-2.532,2.532
'[16:13:02.070 24/04/1989]',-1.782,1.782
'[16:13:02.080 24/04/1989]',6.095,6.095
'[16:13:02.090 24/04/1989]',-5.814,5.814
'[16:13:02.100 24/04/1989]',-5.439,5.439
'[16:13:02.110 24/04/1989]',-7.127,7.127
'[16:13:02.120 24/04/1989]',3.751,3.751
'[16:13:02.130 24/04/1989]',-2.251,2.251
'[16:13:02.140 24/04/1989]',-6.658,6.658
'[16:13:02.150 24/04/1989]',-2.251,2.251
'[16:13:02.160 24/04/1989]',-5.814,5.814
'[16:13:02.170 24/04/1989]',-2.251,2.251
'[16:13:02.180 24/04/1989]',4.314,4.314
'[16:13:02.190 24/04/1989]',6.564,6.564
'[16:13:02.200 24/04/1989]',3.751,3.751
'[16:13:02.210 24/04/1989]',4.22,4.22
'[16:13:02.220 24/04/1989]',3.657,3.657
'[16:13:02.230 24/04/1989]',3.001,3.001
'[16:13:02.240 24/04/1989]',1.782,1.782
'[16:13:02.250 24/04/1989]',1.407,1.407
'[16:13:02.260 24/04/1989]',-1.875,1.875
'[16:13:02.270 24/04/1989]',-5.439,5.439
'[16:13:02.280 24/04/1989]',-3.563,3.563
'[16:13:02.290 24/04/1989]',-4.876,4.876
'[16:13:02.300 24/04/1989]',20.63,20.63
'[16:13:02.310 24/04/1989]',-26.538,26.538
'[16:13:02.320 24/04/1989]',-21.193,21.193
'[16:13:02.330 24/04/1989]',-43.604,43.604
'[16:13:02.340 24/04/1989]',-25.694,25.694
'[16:13:02.350 24/04/1989]',-58.889,58.889
'[16:13:02.360 24/04/1989]',-65.36,65.36
'[16:13:02.370 24/04/1989]',-67.798,67.798
'[16:13:02.380 24/04/1989]',-58.045,58.045
'[16:13:02.390 24/04/1989]',-41.635,41.635
'[16:13:02.400 24/04/1989]',-68.454,68.454
'[16:13:02.410 24/04/1989]',-58.514,58.514
'[16:13:02.420 24/04/1989]',-73.705,73.705
'[16:13:02.430 24/04/1989]',-47.824,47.824
'[16:13:02.440 24/04/1989]',-55.138,55.138
'[16:13:02.450 24/04/1989]',-50.168,50.168
'[16:13:02.460 24/04/1989]',-45.386,45.386
'[16:13:02.470 24/04/1989]',-38.166,38.166
'[16:13:02.480 24/04/1989]',-34.321,34.321
'[16:13:02.490 24/04/1989]',-23.537,23.537
'[16:13:02.500 24/04/1989]',-10.127,10.127
'[16:13:02.510 24/04/1989]',-21.38,21.38
'[16:13:02.520 24/04/1989]',-17.536,17.536
'[16:13:02.530 24/04/1989]',-10.127,10.127
'[16:13:02.540 24/04/1989]',-15.754,15.754
'[16:13:02.550 24/04/1989]',-11.44,11.44
'[16:13:02.560 24/04/1989]',-3.376,3.376
'[16:13:02.570 24/04/1989]',7.502,7.502
'[16:13:02.580 24/04/1989]',-33.946,33.946
'[16:13:02.590 24/04/1989]',-12.659,12.659
'[16:13:02.600 24/04/1989]',-17.911,17.911
'[16:13:02.610 24/04/1989]',-20.63,20.63
'[16:13:02.620 24/04/1989]',-18.755,18.755
'[16:13:02.630 24/04/1989]',-15.848,15.848
'[16:13:02.640 24/04/1989]',-33.758,33.758
'[16:13:02.650 24/04/1989]',-49.325,49.325
'[16:13:02.660 24/04/1989]',-49.7,49.7
'[16:13:02.670 24/04/1989]',-55.045,55.045
'[16:13:02.680 24/04/1989]',-53.732,53.732
'[16:13:02.690 24/04/1989]',-51.2,51.2
'[16:13:02.700 24/04/1989]',-45.574,45.574
'[16:13:02.710 24/04/1989]',-32.352,32.352
'[16:13:02.720 24/04/1989]',-25.037,25.037
'[16:13:02.730 24/04/1989]',-22.787,22.787
'[16:13:02.740 24/04/1989]',0,0
'[16:13:02.750 24/04/1989]',9.19,9.19
'[16:13:02.760 24/04/1989]',17.442,17.442
'[16:13:02.770 24/04/1989]',24.287,24.287
'[16:13:02.780 24/04/1989]',32.633,32.633
'[16:13:02.790 24/04/1989]',34.884,34.884
'[16:13:02.800 24/04/1989]',43.979,43.979
'[16:13:02.810 24/04/1989]',47.074,47.074
'[16:13:02.820 24/04/1989]',46.23,46.23
'[16:13:02.830 24/04/1989]',40.885,40.885
'[16:13:02.840 24/04/1989]',45.855,45.855
'[16:13:02.850 24/04/1989]',45.574,45.574
'[16:13:02.860 24/04/1989]',17.16,17.16
'[16:13:02.870 24/04/1989]',-2.532,2.532
'[16:13:02.880 24/04/1989]',-11.065,11.065
'[16:13:02.890 24/04/1989]',-25.412,25.412
'[16:13:02.900 24/04/1989]',-40.416,40.416
'[16:13:02.910 24/04/1989]',-45.292,45.292
'[16:13:02.920 24/04/1989]',-38.634,38.634
'[16:13:02.930 24/04/1989]',-35.915,35.915
'[16:13:02.940 24/04/1989]',-28.226,28.226
'[16:13:02.950 24/04/1989]',-4.407,4.407
'[16:13:02.960 24/04/1989]',11.44,11.44
'[16:13:02.970 24/04/1989]',26.069,26.069
'[16:13:02.980 24/04/1989]',42.292,42.292
'[16:13:02.990 24/04/1989]',44.73,44.73
'[16:13:03.000 24/04/1989]',53.169,53.169
'[16:13:03.010 24/04/1989]',58.889,58.889
'[16:13:03.020 24/04/1989]',63.766,63.766
'[16:13:03.030 24/04/1989]',63.953,63.953
'[16:13:03.040 24/04/1989]',63.953,63.953
'[16:13:03.050 24/04/1989]',61.703,61.703
'[16:13:03.060 24/04/1989]',58.983,58.983
'[16:13:03.070 24/04/1989]',54.201,54.201
'[16:13:03.080 24/04/1989]',52.982,52.982
'[16:13:03.090 24/04/1989]',44.448,44.448
'[16:13:03.100 24/04/1989]',29.351,29.351
'[16:13:03.110 24/04/1989]',7.127,7.127
'[16:13:03.120 24/04/1989]',-21.568,21.568
'[16:13:03.130 24/04/1989]',-48.668,48.668
'[16:13:03.140 24/04/1989]',-48.387,48.387
'[16:13:03.150 24/04/1989]',-51.575,51.575
'[16:13:03.160 24/04/1989]',-38.072,38.072
'[16:13:03.170 24/04/1989]',-22.505,22.505
'[16:13:03.180 24/04/1989]',-27.851,27.851
'[16:13:03.190 24/04/1989]',3.001,3.001
'[16:13:03.200 24/04/1989]',25.788,25.788
'[16:13:03.210 24/04/1989]',37.415,37.415
'[16:13:03.220 24/04/1989]',43.136,43.136
'[16:13:03.230 24/04/1989]',51.481,51.481
'[16:13:03.240 24/04/1989]',53.919,53.919
'[16:13:03.250 24/04/1989]',53.075,53.075
'[16:13:03.260 24/04/1989]',61.984,61.984
'[16:13:03.270 24/04/1989]',60.296,60.296
'[16:13:03.280 24/04/1989]',54.388,54.388
'[16:13:03.290 24/04/1989]',44.448,44.448
'[16:13:03.300 24/04/1989]',45.011,45.011
'[16:13:03.310 24/04/1989]',-18.567,18.567
'[16:13:03.320 24/04/1989]',-40.979,40.979
'[16:13:03.330 24/04/1989]',-36.571,36.571
'[16:13:03.340 24/04/1989]',-50.075,50.075
'[16:13:03.350 24/04/1989]',-41.26,41.26
'[16:13:03.360 24/04/1989]',-23.349,23.349
'[16:13:03.370 24/04/1989]',-12.659,12.659
'[16:13:03.380 24/04/1989]',7.971,7.971
'[16:13:03.390 24/04/1989]',27.194,27.194
'[16:13:03.400 24/04/1989]',24.756,24.756
'[16:13:03.410 24/04/1989]',40.885,40.885
'[16:13:03.420 24/04/1989]',46.418,46.418
'[16:13:03.430 24/04/1989]',52.982,52.982
'[16:13:03.440 24/04/1989]',55.138,55.138
'[16:13:03.450 24/04/1989]',64.516,64.516
'[16:13:03.460 24/04/1989]',56.639,56.639
'[16:13:03.470 24/04/1989]',57.201,57.201
'[16:13:03.480 24/04/1989]',49.137,49.137
'[16:13:03.490 24/04/1989]',69.017,69.017
'[16:13:03.500 24/04/1989]',9.377,9.377
'[16:13:03.510 24/04/1989]',24.381,24.381
'[16:13:03.520 24/04/1989]',25.131,25.131
'[16:13:03.530 24/04/1989]',-9.94,9.94
'[16:13:03.540 24/04/1989]',18.192,18.192
'[16:13:03.550 24/04/1989]',15.004,15.004
'[16:13:03.560 24/04/1989]',18.848,18.848
'[16:13:03.570 24/04/1989]',12.003,12.003
'[16:13:03.580 24/04/1989]',17.442,17.442
'[16:13:03.590 24/04/1989]',21.286,21.286
'[16:13:03.600 24/04/1989]',7.033,7.033
'[16:13:03.610 24/04/1989]',6.939,6.939
'[16:13:03.620 24/04/1989]',17.442,17.442
'[16:13:03.630 24/04/1989]',9.94,9.94
'[16:13:03.640 24/04/1989]',6.095,6.095
'[16:13:03.650 24/04/1989]',9.846,9.846
'[16:13:03.660 24/04/1989]',10.69,10.69
'[16:13:03.670 24/04/1989]',12.659,12.659
'[16:13:03.680 24/04/1989]',14.347,14.347
'[16:13:03.690 24/04/1989]',15.566,15.566
'[16:13:03.700 24/04/1989]',9.659,9.659
'[16:13:03.710 24/04/1989]',11.909,11.909
'[16:13:03.720 24/04/1989]',13.597,13.597
'[16:13:03.730 24/04/1989]',8.627,8.627
'[16:13:03.740 24/04/1989]',4.595,4.595
'[16:13:03.750 24/04/1989]',9.565,9.565
'[16:13:03.760 24/04/1989]',24.287,24.287
'[16:13:03.770 24/04/1989]',17.629,17.629
'[16:13:03.780 24/04/1989]',17.723,17.723
'[16:13:03.790 24/04/1989]',10.596,10.596
'[16:13:03.800 24/04/1989]',3.47,3.47
'[16:13:03.810 24/04/1989]',9.284,9.284
'[16:13:03.820 24/04/1989]',-2.251,2.251
'[16:13:03.830 24/04/1989]',6.564,6.564
'[16:13:03.840 24/04/1989]',4.032,4.032
'[16:13:03.850 24/04/1989]',5.533,5.533
'[16:13:03.860 24/04/1989]',3.47,3.47
'[16:13:03.870 24/04/1989]',-2.719,2.719
'[16:13:03.880 24/04/1989]',-5.908,5.908
'[16:13:03.890 24/04/1989]',7.502,7.502
'[16:13:03.900 24/04/1989]',-11.44,11.44
'[16:13:03.910 24/04/1989]',-4.876,4.876
'[16:13:03.920 24/04/1989]',-13.597,13.597
'[16:13:03.930 24/04/1989]',-8.158,8.158
'[16:13:03.940 24/04/1989]',-24.475,24.475
'[16:13:03.950 24/04/1989]',-10.971,10.971
'[16:13:03.960 24/04/1989]',-11.815,11.815
'[16:13:03.970 24/04/1989]',-18.848,18.848
'[16:13:03.980 24/04/1989]',-21.568,21.568
'[16:13:03.990 24/04/1989]',-13.785,13.785
'[16:13:04.000 24/04/1989]',-25.037,25.037
'[16:13:04.010 24/04/1989]',-38.822,38.822
'[16:13:04.020 24/04/1989]',-58.421,58.421
'[16:13:04.030 24/04/1989]',-65.453,65.453
'[16:13:04.040 24/04/1989]',-90.866,90.866
'[16:13:04.050 24/04/1989]',-88.615,88.615
'[16:13:04.060 24/04/1989]',-89.647,89.647
'[16:13:04.070 24/04/1989]',-88.147,88.147
'[16:13:04.080 24/04/1989]',-83.739,83.739
'[16:13:04.090 24/04/1989]',-81.02,81.02
'[16:13:04.100 24/04/1989]',-63.578,63.578
'[16:13:04.110 24/04/1989]',-55.42,55.42
'[16:13:04.120 24/04/1989]',-37.978,37.978
'[16:13:04.130 24/04/1989]',-24.193,24.193
'[16:13:04.140 24/04/1989]',-12.753,12.753
'[16:13:04.150 24/04/1989]',0.375,0.375
'[16:13:04.160 24/04/1989]',5.72,5.72
'[16:13:04.170 24/04/1989]',10.034,10.034
'[16:13:04.180 24/04/1989]',17.723,17.723
'[16:13:04.190 24/04/1989]',19.88,19.88
'[16:13:04.200 24/04/1989]',23.443,23.443
'[16:13:04.210 24/04/1989]',19.505,19.505
'[16:13:04.220 24/04/1989]',21.849,21.849
'[16:13:04.230 24/04/1989]',25.694,25.694
'[16:13:04.240 24/04/1989]',17.723,17.723
'[16:13:04.250 24/04/1989]',16.598,16.598
'[16:13:04.260 24/04/1989]',9.096,9.096
'[16:13:04.270 24/04/1989]',-1.782,1.782
'[16:13:04.280 24/04/1989]',-17.067,17.067
'[16:13:04.290 24/04/1989]',-32.164,32.164
'[16:13:04.300 24/04/1989]',-38.822,38.822
'[16:13:04.310 24/04/1989]',-77.738,77.738
'[16:13:04.320 24/04/1989]',-76.8,76.8
'[16:13:04.330 24/04/1989]',-74.081,74.081
'[16:13:04.340 24/04/1989]',-67.235,67.235
'[16:13:04.350 24/04/1989]',-48.856,48.856
'[16:13:04.360 24/04/1989]',-43.136,43.136
'[16:13:04.370 24/04/1989]',-26.35,26.35
'[16:13:04.380 24/04/1989]',5.158,5.158
'[16:13:04.390 24/04/1989]',19.974,19.974
'[16:13:04.400 24/04/1989]',24.006,24.006
'[16:13:04.410 24/04/1989]',36.009,36.009
'[16:13:04.420 24/04/1989]',47.918,47.918
'[16:13:04.430 24/04/1989]',51.012,51.012
'[16:13:04.440 24/04/1989]',50.168,50.168
'[16:13:04.450 24/04/1989]',54.107,54.107
'[16:13:04.460 24/04/1989]',57.577,57.577
'[16:13:04.470 24/04/1989]',54.295,54.295
'[16:13:04.480 24/04/1989]',55.232,55.232
'[16:13:04.490 24/04/1989]',51.012,51.012
'[16:13:04.500 24/04/1989]',47.355,47.355
'[16:13:04.510 24/04/1989]',46.793,46.793
'[16:13:04.520 24/04/1989]',38.541,38.541
'[16:13:04.530 24/04/1989]',39.853,39.853
'[16:13:04.540 24/04/1989]',36.196,36.196
'[16:13:04.550 24/04/1989]',40.885,40.885
'[16:13:04.560 24/04/1989]',39.197,39.197
'[16:13:04.570 24/04/1989]',31.508,31.508
'[16:13:04.580 24/04/1989]',34.884,34.884
'[16:13:04.590 24/04/1989]',39.103,39.103
'[16:13:04.600 24/04/1989]',13.878,13.878
'[16:13:04.610 24/04/1989]',6.845,6.845
'[16:13:04.620 24/04/1989]',-9.096,9.096
'[16:13:04.630 24/04/1989]',-21.943,21.943
'[16:13:04.640 24/04/1989]',-50.919,50.919
'[16:13:04.650 24/04/1989]',-59.077,59.077
'[16:13:04.660 24/04/1989]',-58.233,58.233
'[16:13:04.670 24/04/1989]',-61.609,61.609
'[16:13:04.680 24/04/1989]',-52.607,52.607
'[16:13:04.690 24/04/1989]',-37.134,37.134
'[16:13:04.700 24/04/1989]',-23.631,23.631
'[16:13:04.710 24/04/1989]',-1.032,1.032
'[16:13:04.720 24/04/1989]',18.942,18.942
'[16:13:04.730 24/04/1989]',44.823,44.823
'[16:13:04.740 24/04/1989]',55.701,55.701
'[16:13:04.750 24/04/1989]',63.672,63.672
'[16:13:04.760 24/04/1989]',71.267,71.267
'[16:13:04.770 24/04/1989]',74.456,74.456
'[16:13:04.780 24/04/1989]',75.862,75.862
'[16:13:04.790 24/04/1989]',73.143,73.143
'[16:13:04.800 24/04/1989]',72.393,72.393
'[16:13:04.810 24/04/1989]',76.237,76.237
'[16:13:04.820 24/04/1989]',67.329,67.329
'[16:13:04.830 24/04/1989]',65.172,65.172
'[16:13:04.840 24/04/1989]',60.671,60.671
'[16:13:04.850 24/04/1989]',59.733,59.733
'[16:13:04.860 24/04/1989]',58.796,58.796
'[16:13:04.870 24/04/1989]',51.95,51.95
'[16:13:04.880 24/04/1989]',52.794,52.794
'[16:13:04.890 24/04/1989]',69.111,69.111
'[16:13:04.900 24/04/1989]',31.226,31.226
'[16:13:04.910 24/04/1989]',50.356,50.356
'[16:13:04.920 24/04/1989]',45.667,45.667
'[16:13:04.930 24/04/1989]',47.355,47.355
'[16:13:04.940 24/04/1989]',41.823,41.823
'[16:13:04.950 24/04/1989]',40.416,40.416
'[16:13:04.960 24/04/1989]',38.728,38.728
'[16:13:04.970 24/04/1989]',33.946,33.946
'[16:13:04.980 24/04/1989]',34.04,34.04
'[16:13:04.990 24/04/1989]',27.944,27.944
'[16:13:05.000 24/04/1989]',26.632,26.632
'[16:13:05.010 24/04/1989]',26.35,26.35
'[16:13:05.020 24/04/1989]',25.881,25.881
'[16:13:05.030 24/04/1989]',16.785,16.785
'[16:13:05.040 24/04/1989]',15.941,15.941
'[16:13:05.050 24/04/1989]',16.035,16.035
'[16:13:05.060 24/04/1989]',13.503,13.503
'[16:13:05.070 24/04/1989]',12.19,12.19
'[16:13:05.080 24/04/1989]',14.253,14.253
'[16:13:05.090 24/04/1989]',8.908,8.908
'[16:13:05.100 24/04/1989]',7.596,7.596
'[16:13:05.110 24/04/1989]',5.814,5.814
'[16:13:05.120 24/04/1989]',0.375,0.375
'[16:13:05.130 24/04/1989]',1.782,1.782
'[16:13:05.140 24/04/1989]',-0.844,0.844
'[16:13:05.150 24/04/1989]',3.938,3.938
'[16:13:05.160 24/04/1989]',28.695,28.695
'[16:13:05.170 24/04/1989]',-9.096,9.096
'[16:13:05.180 24/04/1989]',15.097,15.097
'[16:13:05.190 24/04/1989]',15.191,15.191
'[16:13:05.200 24/04/1989]',25.788,25.788
'[16:13:05.210 24/04/1989]',19.599,19.599
'[16:13:05.220 24/04/1989]',16.223,16.223
'[16:13:05.230 24/04/1989]',29.632,29.632
'[16:13:05.240 24/04/1989]',32.821,32.821
'[16:13:05.250 24/04/1989]',30.945,30.945
'[16:13:05.260 24/04/1989]',30.007,30.007
